Wall time,Step,Value
1710869387.1515386,18,1.0
1710869404.5451043,42,2.0
1710869415.832221,45,3.0
1710869419.7927582,56,3.0
1710869433.3732648,71,4.0
1710869434.3763778,74,4.0
1710869458.1760395,94,6.0
1710869513.1508164,155,10.0
1710869514.2406032,158,10.0
1710869525.663205,167,11.0
1710869539.804737,183,12.0
1710869580.6706336,229,15.0
1710869582.575273,234,15.0
1710869606.5949552,255,17.0
1710869608.4095402,260,17.0
1710869610.8270526,267,17.0
1710869621.1878307,273,18.0
1710869649.9371922,308,20.0
1710869650.6561484,310,20.0
1710869661.661408,318,21.0
1710869677.5004551,339,22.0
1710869688.1969593,347,23.0
1710869703.5258384,367,24.0
1710869755.3662508,421,28.0
1710869755.7318559,422,28.0
1710869771.0120163,442,29.0
1710869772.1585877,445,29.0
1710869785.5690954,460,30.0
1710869786.5325527,463,30.0
1710869786.8508732,464,30.0
1710869799.0493424,474,31.0
1710869814.0670524,493,32.0
1710869838.1868875,514,34.0
1710869854.2762089,536,35.0
1710869880.446168,563,37.0
1710869894.6611433,579,38.0
1710869905.4244344,586,39.0
1710869905.7976553,587,39.0
1710869934.1092412,620,41.0
1710869947.2327025,634,42.0
1710869949.6705606,641,42.0
1710869949.992962,642,42.0
1710869950.5709698,644,42.0
1710869959.6506212,647,43.0
1710869960.36518,649,43.0
1710869972.628736,661,44.0
1710869976.1999416,671,44.0
1710870015.608785,714,47.0
1710870026.3894145,722,48.0
1710870029.4619157,730,48.0
1710870053.193304,752,50.0
1710870054.6003888,756,50.0
1710870065.976883,765,51.0
1710870067.405422,769,51.0
1710870068.1098158,771,51.0
1710870081.4909875,785,52.0
1710870082.2518072,787,52.0
1710870084.0753837,792,52.0
1710870084.7314878,794,52.0
1710870094.2051623,798,53.0
1710870095.6518164,802,53.0
1710870097.6882253,808,53.0
1710870098.0065994,809,53.0
1710870122.2818995,832,55.0
1710870123.6965506,836,55.0
1710870151.5759726,869,57.0
1710870164.1571524,882,58.0
1710870189.0764556,907,60.0
1710870189.7709775,909,60.0
1710870201.1522398,917,61.0
1710870217.8362143,942,62.0
1710870227.311667,945,63.0
1710870230.492106,954,63.0
1710870241.8224392,962,64.0
1710870244.9473135,971,64.0
1710870245.277577,972,64.0
1710870255.2893088,978,65.0
1710870255.6530666,979,65.0
1710870257.5324104,984,65.0
1710870272.137251,1002,66.0
1710870281.2494197,1005,67.0
1710870284.413696,1014,67.0
1710870329.3221183,1063,70.0
1710870338.4981613,1066,71.0
1710870339.2156017,1068,71.0
1710870340.6501157,1072,71.0
1710870342.693599,1078,71.0
1710870352.4771862,1083,72.0
1710870355.9048643,1093,72.0
1710870366.1826673,1099,73.0
1710870368.155959,1104,73.0
1710870379.6215231,1114,74.0
1710870418.4346871,1156,77.0
1710870419.9122074,1160,77.0
1710870420.2618713,1161,77.0
1710870420.6201475,1162,77.0
1710870434.8004885,1180,78.0
1710870447.1923842,1193,79.0
1710870459.5581164,1206,80.0
1710870488.606276,1244,82.0
1710870501.321027,1258,83.0
1710870510.1638312,1261,84.0
1710870525.3717349,1281,85.0
1710870527.444017,1287,85.0
1710870537.8731918,1294,86.0
1710870553.5768938,1316,87.0
1710870554.5162463,1319,87.0
1710870566.3415756,1330,88.0
