Wall time,Step,Value
1710869387.153153,18,531297.0625
1710869404.5467494,42,364401.34375
1710869415.8340423,45,413345.28125
1710869419.7946947,56,310547.0625
1710869433.375156,71,219592.171875
1710869434.37827,74,245376.53125
1710869458.1779125,94,189373.15625
1710869513.1526875,155,155772.84375
1710869514.2424128,158,172723.015625
1710869525.664822,167,164070.65625
1710869539.8065665,183,174010.515625
1710869580.6722755,229,128750.03125
1710869582.5771081,234,102128.5625
1710869606.596791,255,118159.359375
1710869608.4114149,260,120025.828125
1710869610.8289332,267,107508.109375
1710869621.1896644,273,113769.6796875
1710869649.9381618,308,166306.75
1710869650.6580076,310,85836.4453125
1710869661.663255,318,134786.15625
1710869677.50227,339,142392.21875
1710869688.1988833,347,106622.96875
1710869703.5276818,367,98938.046875
1710869755.3681304,421,102333.40625
1710869755.7337563,422,83711.21875
1710869771.0138352,442,116617.8515625
1710869772.1604345,445,102051.875
1710869785.5709665,460,103560.90625
1710869786.534461,463,108979.390625
1710869786.8526576,464,95552.5859375
1710869799.0510361,474,188975.21875
1710869814.0689418,493,131757.90625
1710869838.1887834,514,115499.4765625
1710869854.278102,536,78108.5078125
1710869880.4480639,563,209812.375
1710869894.6629589,579,78904.703125
1710869905.4262896,586,169384.703125
1710869905.7994401,587,95158.953125
1710869934.1111069,620,78523.703125
1710869947.234567,634,82920.046875
1710869949.6724513,641,153827.46875
1710869949.9948497,642,88217.53125
1710869950.5728517,644,94968.5625
1710869959.652464,647,76234.0703125
1710869960.367033,649,70802.171875
1710869972.6305842,661,81828.828125
1710869976.201694,671,166761.78125
1710870015.610616,714,64560.9140625
1710870026.390996,722,74875.71875
1710870029.463618,730,135693.21875
1710870053.1951828,752,76384.703125
1710870054.6022637,756,69857.59375
1710870065.9786716,765,78081.484375
1710870067.4073315,769,53379.69140625
1710870068.1117017,771,55642.29296875
1710870081.4926553,785,55326.79296875
1710870082.2535846,787,82197.9921875
1710870084.0771093,792,75391.234375
1710870084.7332146,794,62644.2734375
1710870094.2068958,798,131164.625
1710870095.65366,802,81219.921875
1710870097.6901007,808,66783.734375
1710870098.0084155,809,55403.55859375
1710870122.2837088,832,55341.31640625
1710870123.6983957,836,63387.81640625
1710870151.577887,869,61546.609375
1710870164.1590593,882,57846.78125
1710870189.0783346,907,77835.8046875
1710870189.7728424,909,68506.1015625
1710870201.154041,917,58775.078125
1710870217.8381202,942,119394.8359375
1710870227.3134298,945,48801.1171875
1710870230.4939976,954,48670.5546875
1710870241.824248,962,70500.4140625
1710870244.9488924,971,48250.640625
1710870245.2793982,972,53924.53125
1710870255.2911093,978,49077.46875
1710870255.654975,979,58758.53515625
1710870257.53406,984,49478.8984375
1710870272.1386502,1002,53629.4296875
1710870281.251043,1005,55844.73046875
1710870284.4155934,1014,47269.546875
1710870329.3233337,1063,57081.5
1710870338.5000443,1066,61595.9140625
1710870339.218829,1068,52727.69140625
1710870340.6519592,1072,95674.875
1710870342.6954796,1078,44054.19140625
1710870352.4790945,1083,44633.5546875
1710870355.9067643,1093,56674.1484375
1710870366.1844718,1099,43571.5078125
1710870368.1574879,1104,40567.953125
1710870379.6234279,1114,60960.51171875
1710870418.4364939,1156,49510.09765625
1710870419.9140599,1160,51190.421875
1710870420.2636325,1161,46386.82421875
1710870420.6220253,1162,50171.828125
1710870434.802351,1180,47277.87109375
1710870447.1942558,1193,72056.640625
1710870459.5599582,1206,41924.9765625
1710870488.6081982,1244,46781.76953125
1710870501.32292,1258,69981.7109375
1710870510.1657088,1261,43898.296875
1710870525.37347,1281,53490.9453125
1710870527.4459128,1287,49309.30078125
1710870537.8747797,1294,48806.52734375
1710870553.5787957,1316,41621.84375
1710870554.5181272,1319,33542.6484375
1710870566.3434467,1330,42079.0078125
1710870567.3272462,1333,55819.9296875
1710870576.1953003,1336,40749.9921875
1710870576.5430524,1337,49389.8046875
1710870617.3632147,1385,63521.9609375
1710870619.4533596,1391,43576.6796875
1710870619.754755,1392,44496.78515625
1710870643.2109802,1414,40724.109375
1710870655.0376594,1426,35563.828125
1710870658.7989652,1436,45605.2265625
1710870685.1495025,1466,43493.56640625
1710870696.8705146,1477,30504.24609375
1710870707.4530842,1485,33677.0234375
1710870709.5315914,1491,34463.3046875
1710870736.472696,1523,29473.0
1710870737.8593092,1527,37480.02734375
1710870762.4885206,1552,38482.171875
1710870775.893713,1568,39739.2734375
1710870776.2426648,1569,35189.34765625
1710870789.5033698,1584,36411.1796875
1710870790.7883408,1588,37467.859375
1710870804.8658705,1604,41624.86328125
1710870813.1880662,1605,30500.5859375
1710870840.1047714,1637,36052.4140625
1710870841.1879737,1640,38432.41015625
1710870843.0531783,1645,55246.15625
1710870844.0446846,1648,53090.5
1710870866.6195753,1668,30631.7890625
1710870879.4550471,1682,35161.2109375
1710870882.7055469,1691,29942.046875
1710870891.8703117,1695,39148.46875
1710870892.6191342,1697,31442.759765625
1710870893.4016755,1699,28978.98828125
1710870894.5276217,1702,31264.82421875
1710870896.997507,1709,55736.0
1710870908.279571,1718,37579.8046875
1710870921.2354314,1732,31087.296875
1710870921.933268,1734,42414.5859375
1710870922.8951085,1737,30158.05078125
1710870932.5624495,1742,35852.96875
1710870933.610495,1745,40068.48046875
1710870933.963404,1746,33314.5234375
1710870948.9893072,1766,43074.60546875
1710870959.9927835,1775,31041.033203125
1710870962.0530074,1781,33312.56640625
1710870972.7328827,1789,28416.302734375
1710870975.8241177,1798,34124.37109375
1710870986.1289332,1805,29992.57421875
1710871000.9607995,1826,45521.765625
1710871010.5358295,1830,49349.48046875
1710871014.094838,1840,42393.578125
1710871015.3122041,1844,37110.33203125
1710871026.4597657,1853,40848.265625
1710871038.8972332,1866,31088.236328125
1710871039.9456496,1869,28807.580078125
1710871049.7525444,1875,25796.734375
1710871050.440206,1877,45681.25
1710871080.1811438,1917,30244.8125
1710871093.9738703,1934,27115.71484375
1710871105.4740374,1944,42874.92578125
1710871106.433838,1947,32696.5546875
1710871129.6524282,1967,38572.61328125
1710871142.8599436,1981,36949.48828125
1710871143.539697,1983,33564.5390625
1710871157.7923265,2001,25818.388671875
1710871159.1595612,2005,29917.029296875
1710871169.6542258,2013,31045.20703125
1710871183.5002813,2030,40416.93359375
1710871185.760433,2036,30330.638671875
1710871211.8579812,2060,31181.142578125
1710871224.6590974,2073,29041.962890625
1710871225.7111077,2076,26915.1640625
1710871226.0669584,2077,31884.19921875
1710871227.4145138,2081,25492.849609375
1710871236.4208372,2085,26873.19921875
1710871237.839826,2089,26827.869140625
1710871240.209721,2096,26721.99609375
1710871253.5732539,2111,29347.974609375
1710871289.5589712,2145,28920.8359375
1710871290.9863462,2149,29038.31640625
1710871293.392849,2156,33934.3203125
1710871304.5999696,2165,28609.44921875
1710871320.333212,2187,27656.1953125
1710871320.984195,2189,28769.548828125
1710871329.8092718,2191,28245.06640625
1710871332.5690007,2199,26706.01171875
1710871343.1098762,2207,25892.017578125
1710871344.4967299,2211,23364.7109375
1710871359.095878,2231,23063.853515625
1710871368.8286743,2236,22620.81640625
1710871369.2322373,2237,34169.16796875
1710871369.9276648,2239,25794.017578125
1710871370.9670095,2242,27435.77734375
1710871382.8642404,2254,26198.25390625
1710871383.9301627,2257,31163.7890625
1710871385.6024206,2262,26941.92578125
1710871408.16552,2281,29667.828125
1710871411.9176333,2291,23187.87890625
1710871422.539629,2297,25640.55078125
1710871424.6332536,2303,21969.5625
1710871425.9457963,2307,39209.76953125
1710871438.5770085,2319,37436.953125
1710871463.8736126,2345,25400.787109375
1710871466.815619,2354,24881.96875
1710871502.694271,2389,20880.169921875
1710871503.0450356,2390,31815.93359375
1710871503.7497954,2392,27794.673828125
1710871543.2038581,2436,39454.80859375
1710871545.8248804,2444,29476.626953125
1710871556.1281326,2451,21033.69140625
