Wall time,Step,Value
1710879275.6775794,5,581637.25
1710879293.1062846,18,448860.0625
1710879295.4245734,24,483530.5
1710879316.6496136,40,312883.40625
1710879317.3622239,42,367567.3125
1710879324.788684,45,410437.90625
1710879328.4072223,53,275254.96875
1710879335.854474,56,315035.59375
1710879347.7958493,71,311940.78125
1710879355.2831454,74,296272.90625
1710879375.3550057,94,239197.8125
1710879384.6729305,102,251212.8125
1710879386.1850116,106,192855.375
1710879413.2160275,126,183631.59375
1710879424.8873956,139,201880.90625
1710879435.486695,150,202053.90625
1710879443.7586114,155,191574.34375
1710879444.9123995,158,194847.046875
1710879454.7691114,167,160723.375
1710879465.2263782,178,182661.8125
1710879473.56156,183,137691.484375
1710879474.3313804,185,264289.21875
1710879474.6700313,186,204792.71875
1710879482.7627106,190,202725.21875
1710879492.0636034,198,143473.53125
1710879501.9421997,207,178990.3125
1710879504.152109,212,127970.578125
1710879514.4333131,223,151832.546875
1710879523.1838756,229,139212.875
1710879531.2267218,234,210381.125
1710879543.580582,249,168601.75
1710879552.2157953,255,124131.3125
1710879553.9585536,260,145801.765625
1710879562.8920314,267,123626.9921875
1710879570.615538,271,120019.21875
1710879571.4383392,273,141524.8125
1710879590.9844255,292,114293.1875
1710879599.0218701,297,114390.3359375
1710879601.477558,303,123332.265625
1710879609.4760077,308,111726.78125
1710879610.3610315,310,212746.40625
1710879619.8088717,318,109042.8984375
1710879630.720751,330,132927.8125
1710879640.5755687,339,128433.15625
1710879649.9626763,347,120546.3359375
1710879668.4740124,363,141784.203125
1710879669.9210553,367,94607.6171875
1710879679.7165968,377,124503.9609375
1710879727.5956776,421,145140.1875
1710879727.9237044,422,95662.328125
1710879746.8114064,439,78330.8671875
1710879753.5487783,441,80347.59375
1710879754.049103,442,112376.375
1710879755.3197908,445,72043.984375
1710879773.422099,460,71275.7421875
1710879774.6607513,463,94990.8984375
1710879775.01857,464,98061.515625
1710879785.1637378,474,67241.4609375
1710879804.167472,491,79155.0234375
1710879804.8120532,493,85039.953125
1710879831.9260352,514,60832.3359375
1710879833.1500773,517,59838.234375
1710879842.18014,525,92931.578125
1710879850.4384725,531,62549.70703125
1710879851.3550768,533,62407.09765625
1710879852.4770472,536,64227.671875
1710879860.813523,542,65653.796875
1710879862.5697076,547,58087.765625
1710879872.5257862,557,48210.625
1710879881.2257466,563,52375.19140625
1710879889.7236965,569,68296.453125
1710879891.3113976,573,53381.2890625
1710879900.0274608,579,57675.6640625
1710879900.751199,581,67396.09375
1710879908.9962704,586,58977.2265625
1710879909.4023724,587,69373.15625
1710879911.6530936,593,58844.8515625
1710879921.4324915,602,58603.1328125
1710879940.5112734,620,48015.67578125
1710879947.4056873,622,47988.3359375
1710879958.2471623,634,46869.4140625
1710879967.2708812,641,52780.7734375
1710879967.6766362,642,69628.578125
1710879968.4048944,644,44972.1953125
1710879969.3686383,647,48901.0078125
1710879976.3221269,649,56349.9140625
1710879986.961483,661,47284.8046875
1710879987.9440932,664,47727.1015625
1710879995.7537637,668,50978.0859375
1710879996.879279,671,62605.15234375
1710879997.8347385,674,58914.8046875
1710880005.9246433,678,60326.203125
1710880007.7645905,683,61567.421875
1710880015.9512973,688,65020.9609375
1710880044.4860961,714,54393.9375
